dp_id,port_no,rx_bytes,rx_pkts,tx_bytes,tx_pkts,duration
2,1,42032860,27840,24464209,16341,357
2,2,25123146,16669,13529737,9092,357
2,3,27039962,18018,56221871,37282,357
3,1,42469912,28131,52459,197,357
3,2,44928,103,71670669,47545,357
3,3,56225140,37310,27036693,17990,357
1,1,57522233,38143,27040004,18019,367
1,2,27036735,17991,57525502,38171,367
2,1,43333222,28701,25811443,17233,367
2,2,26470338,17560,13529737,9092,367
2,3,27040004,18019,57522233,38143,367
3,1,43818616,29023,52459,197,367
3,2,44970,104,74319735,49298,367
3,3,57525502,38171,27036735,17991,367
1,1,58818017,39000,27040004,18019,377
1,2,27036735,17991,58821286,39028,377
2,1,44629006,29558,27160147,18125,377
2,2,27819042,18452,13529737,9092,377
2,3,27040004,18019,58818017,39000,377
3,1,45167320,29915,52459,197,377
3,2,44970,104,76964223,51047,377
3,3,58821286,39028,27036735,17991,377
3,1,46513084,30807,54055,200,387
3,2,46566,107,79105299,52465,387
3,3,60901882,40406,28322019,18843,387
1,1,60898613,40378,28325288,18871,387
1,2,28322019,18843,60901882,40406,387
2,1,45914290,30410,27709087,18490,387
2,2,29164890,19346,14816617,9947,387
2,3,28325288,18871,60898613,40378,387
1,1,63526469,42116,29672480,19762,397
1,2,29669211,19734,63529738,42144,397
2,1,47194954,31257,27709087,18490,397
2,2,30513594,20238,16165321,10839,397
2,3,29673992,19763,63527981,42117,397
3,1,47861788,31699,54055,200,397
3,2,46566,107,81734667,54204,397
3,3,63531250,42145,29670723,19735,397
2,1,48480196,32108,27709129,18491,407
2,2,31860786,21129,17512513,11730,407
2,3,31021226,20655,66160415,43859,407
3,1,49208980,32590,54055,200,407
3,2,46608,108,84367101,55946,407
3,3,66163684,43887,31017957,20627,407
1,1,66160415,43859,31021226,20655,407
1,2,31017957,20627,66163684,43887,407
1,1,68792849,45601,32366948,21546,417
1,2,32363679,21518,68796118,45629,417
2,1,49762372,32956,28313929,18891,417
2,2,33211044,22023,18253435,12221,417
2,3,32366948,21546,68792849,45601,417
3,1,50554660,33480,55567,201,417
3,2,46650,109,86998023,57687,417
3,3,68796118,45629,32363679,21518,417
1,1,70490993,46728,33717332,22443,427
1,2,33714063,22415,70494262,46756,427
2,1,51040054,33802,29662675,19784,427
2,2,33631506,22304,18255073,12225,427
2,3,33718844,22444,70490993,46728,427
3,1,51903490,34375,55693,204,427
3,2,48204,111,88696041,58811,427
3,3,70494262,46756,33714063,22415,427
3,1,53252194,35267,55693,204,437
3,2,48204,111,89978217,59659,437
3,3,71776438,47604,35062767,23307,437
1,1,71773169,47576,35066036,23335,437
1,2,35062767,23307,71776438,47604,437
2,1,52322230,34650,31011379,20676,437
2,2,33631506,22304,18255073,12225,437
2,3,35066036,23335,71773169,47576,437
1,1,73056899,48426,36414782,24228,447
1,2,36411513,24200,73060168,48454,447
2,1,53605960,35500,32360125,21569,447
2,2,33631506,22304,18255073,12225,447
2,3,36414782,24228,73058411,48427,447
3,1,54600898,36159,55763,205,447
3,2,48246,112,91261947,60509,447
3,3,73060168,48454,36411513,24200,447
1,1,74343653,49278,36485888,24276,457
1,2,36482619,24248,74346922,49306,457
2,1,54892714,36352,32431231,21617,457
2,2,33631506,22304,18255073,12225,457
2,3,36485888,24276,74343653,49278,457
3,1,55946662,37051,57359,208,457
3,2,48288,113,93821805,62203,457
3,3,74346922,49306,36482619,24248,457
1,1,75627411,50128,36485888,24276,467
1,2,36482619,24248,75630680,50156,467
2,1,56176444,37202,33486719,22317,467
2,2,34686994,23004,18255115,12226,467
2,3,36485888,24276,75627411,50128,467
3,1,57295366,37943,57429,209,467
3,2,48288,113,96454267,63945,467
3,3,75630680,50156,36482619,24248,467
1,1,76908117,50976,36485930,24277,477
1,2,36482661,24249,76911386,51004,477
3,1,58644070,38835,57429,209,477
3,2,48330,114,99083677,65685,477
3,3,76911386,51004,36482661,24249,477
2,1,57457150,38050,34835465,23210,477
2,2,36035698,23896,18255115,12226,477
2,3,36485930,24277,76908117,50976,477
1,1,78187269,51822,36485930,24277,487
1,2,36482661,24249,78190538,51850,487
2,1,58736302,38896,36184169,24102,487
2,2,37384402,24788,18255115,12226,487
2,3,36485930,24277,78187269,51822,487
3,1,59991262,39726,57429,209,487
3,2,48330,114,101710021,67422,487
3,3,78190538,51850,36482661,24249,487
1,1,79474093,52675,37754540,25117,497
1,2,37751271,25089,79477362,52703,497
2,1,60023126,39749,37531473,24995,497
2,2,38731678,25681,19523837,13068,497
2,3,37754540,25117,79474093,52675,497
3,1,61337068,40619,59137,214,497
3,2,49926,117,103073999,68327,497
3,3,79477362,52703,37751271,25089,497
1,1,81941719,54308,39103286,26010,507
1,2,39100017,25982,81944988,54336,507
2,1,61306856,40599,37693299,25103,507
2,2,40078954,26574,20874137,13963,507
2,3,39103286,26010,81941719,54308,507
3,1,62685772,41511,59137,214,507
3,2,49968,118,105541625,69960,507
3,3,81944988,54336,39100017,25982,507
1,1,84578796,56054,40450734,26904,517
1,2,40447358,26875,84582172,56083,517
2,1,62595122,41452,37693662,25107,517
2,2,41427658,27466,22221650,14857,517
2,3,40450734,26904,84578796,56054,517
3,1,64032964,42402,59458,217,517
3,2,50010,119,108178916,71708,517
3,3,84582172,56083,40447358,26875,517
1,1,87212700,57796,41799438,27796,527
1,2,41796062,27767,87216076,57825,527
3,1,65381668,43294,59458,217,527
3,2,50010,119,110812890,73451,527
3,3,87216076,57825,41796062,27767,527
2,1,63880322,42302,37693662,25107,527
2,2,42776362,28358,23570354,15749,527
2,3,41799438,27796,87212700,57796,527
1,1,89843748,59540,43146798,28691,537
1,2,43143422,28662,89847124,59569,537
2,1,65161028,43150,38957736,25944,537
2,2,44126704,29254,23653640,15807,537
2,3,43146798,28691,89843748,59540,537
3,1,66728986,44188,61096,221,537
3,2,50052,120,113442300,75191,537
3,3,89847124,59569,43143422,28662,537
1,1,91968220,60947,44495614,29585,547
1,2,44492238,29556,91971596,60976,547
2,1,66446270,44001,40305040,26837,547
2,2,44965864,29809,23655292,15810,547
2,3,44495614,29585,91968220,60947,547
3,1,68076178,45079,61236,223,547
3,2,51676,123,115566772,76598,547
3,3,91971596,60976,44492238,29556,547
1,1,93251950,61797,45844430,30479,557
1,2,45840984,30449,93255326,61826,557
2,1,67729958,44850,41653814,27730,557
2,2,44965906,29810,23655404,15812,557
2,3,45844430,30479,93251950,61797,557
3,1,69424882,45971,61236,223,557
3,2,51718,124,116850502,77448,557
3,3,93255326,61826,45840984,30449,557
1,1,94534126,62645,47193134,31371,567
1,2,47189688,31341,94537502,62674,567
2,1,69012134,45698,43002518,28622,567
2,2,44965906,29810,23655404,15812,567
2,3,47193134,31371,94534126,62645,567
3,1,70773586,46863,61236,223,567
3,2,51718,124,118132678,78296,567
3,3,94537502,62674,47189688,31341,567
1,1,95820880,63497,47280942,31431,577
1,2,47277496,31401,95824256,63526,577
2,1,70298888,46550,43090326,28682,577
2,2,44965906,29810,23655474,15813,577
2,3,47280942,31431,95820880,63497,577
3,1,72119350,47755,62832,226,577
3,2,51760,125,120675904,79979,577
3,3,95824256,63526,47277496,31401,577
1,1,97104610,64347,47280984,31432,587
1,2,47277538,31402,97107986,64376,587
3,1,73466542,48646,62832,226,587
3,2,51802,126,123306826,81720,587
3,3,97107986,64376,47277538,31402,587
